,img_name,question,h,r,t,answer,fold
27,112700220220718170710.jpg,이미지 속 유타 주의 상징이며 로열젤리와 관계 있는 곤충은 무엇이니?,Western honey bee,subject,Utah_Caution_Symbol,Western honey bee,1.0
28,120801620220825180854.jpg,이미지 안에 조기어류는 무슨 목에 속하니?,Kidako moray,class,Actinopterygii,Anguilliformes,1.0
29,122500420220721173755.jpg,생쥐는 무슨 목에 포함되는 모델 생물이니?,House mouse,subject,Model organism,rodents,1.0
30,110200320220621152617.jpg,이미지 속 기하광학인 광학 기기는 뭐니?,Glasses,subject,Optical instrument,glasses,1.0
31,121900320220707180755.jpg,이미지 속 포유류는 무엇에 속하는 동물이야?,Polar bear,class,Mammal,Carnivora,1.0
32,170700120220915151308.jpg,이미지에서 음식을 주문하기 위한 용도로 사용하는 것은 뭘까?,a menu,UsedFor,ordering food,menu,1.0
33,120201320220623160155.jpg,이미지 속 포유류에 속한 척추동물은 무엇이야?,Lion,class,Mammal,lion,1.0
34,160100620220713163124.jpg,이미지 속 기구는 어느 나라의 발명품일까?,Hot air balloon,subject,Balloon (aeronautics),France,1.0
35,130700220220628144033.jpg,이미지 내 진원류에 해당하는 사람은 어디에 속하고 있니?,Human,subclass,Theria,Theria,1.0
36,120201820220818183633.jpg,이미지에서 초식동물인 토끼의 강은 어디에 해당할까?,Leporidae,subject,Herbivore,a mammal,1.0
37,140401220220711131117.jpg,이미지 안에 새우는 무엇에 해당하는 동물이니?,Shrimp,suborder,Pleocyemata,Pleocyemata,1.0
38,110300220220714161320.jpg,이미지 안 티켓은 무엇일까?,Ticket (admission),subject,Ticket,Ticket (admission),1.0
39,117700720220919173907.jpg,이미지 속 우주 예술과 관련 있는 것은 뭘까?,Star trail,subject,space_art,star trail,1.0
40,120400720220720161229.jpg,이미지 속에서 한국의 파충류에 해당하는 살무사는 어떤 뱀이니?,Mamushi,subject,Venomous snake,pit viper,1.0
41,211301220221025121025.jpg,이미지 내에 있는 전설의 동물은 어느 나라의 상징이니?,Dragon,subject,symbol of china,china,1.0
42,120400120220624171455.jpg,이미지 내에 있는 거북은 어떤 동물에 속하니?,Turtle,phylum,Chordate,chordate,1.0
43,120201820220623143815.jpg,이미지 속 초식동물이 포함되는 과는 뭘까?,Leporidae,subject,Herbivore,Leporidae,1.0
44,111600120220706162749.jpg,이미지 속 가톨릭 전례 봉사자는 뭐니?,choir,subject,Catholic_liturgical_volunteer,choir school,1.0
45,120205320220715162040.jpg,이미지 안 쥐목에 속하는 동물은 뭐야?,Red squirrel,kingdom,Animal,red squirrel,1.0
46,141601420220727155302.jpg,이미지 내 꿀풀목에 해당하는 마편초의 미분류목은 뭐야?,Verbena officinalis,order,Lamiales,Asterids,1.0
47,120200720220623120020.jpg,이미지 속 장비목에 속하는 동물은 뭐야?,Elephant,subject,Proboscidea,elephant,1.0
48,120100520220818132041.jpg,이미지 속 딱정벌레목에 해당하는 것은 뭐가 있니?,Harmonia axyridis,order,Beetle,ladybug,1.0
49,140201220220715174508.jpg,이미지 속 국화군에 속하는 식물은 무엇에 해당될까?,Olive,order,Lamiales,Lamiales,1.0
50,140201220220715175348.jpg,이미지 속 국화군에 해당하는 식물은 뭐야?,Olive,unclassified_order,Asterids,olive,1.0
51,161000120220714142911.jpg,이미지에서 건설에 사용되는 기계는 뭐야?,Excavator,subject,Heavy equipment,digging instrument,1.0
52,141400420220923113742.jpg,이미지 안 원예 식물이 해당하는 목은 뭐야?,Gladiolus,subject,Gardening_Plants,Asparagales,1.0
53,122203320220803140001.jpg,이미지 내 홍학은 어떤 상목에 속해?,Flamingo,superorder,Neoaves,charadriiformes,1.0
54,120204620220809165420.jpg,이미지 안 고양이아목에 속하는 동물을 뭐라고 해?,Hyena,kingdom,Animal,hyena,1.0
55,120100520220623110830.jpg,이미지 속 딱정벌레목에 속하는 것은 무슨 계에 해당할까?,Harmonia axyridis,kingdom,Animal,a animal,1.0
56,141404220220923141415.jpg,이미지 속 식물의 속은 뭐야?,yellow azalea,kingdom,Plant,Rhododendron,1.0
57,112600520220707160309.jpg,이미지 속 마약을 뭐라고 부를까?,Cannabis (drug),subject,Narcotic,cannabis,1.0
58,141500420220712143036.jpg,이미지 안 은방울꽃은 무슨 식물에 속하니?,Lily of the valley,subject,Poisonous plants,Poisonous plants,1.0
59,211301720221006140731.jpg,이미지 안 국기로 사용되는 것은 어느 나라의 상징일까?,Flag of South Korea,subject,National symbols of South Korea,South Korea,1.0
60,160300820220714162623.jpg,이미지 속 영장상목에 해당하는 사람은 어디에 속하니?,Human,order,Primate,a primate,1.0
61,110700220220705182017.jpg,이미지 속 영장상목에 속하는 동물은 뭐야?,Human,superorder,Euarchontoglires,people,1.0
62,120207720220803150640.jpg,이미지 속 개코원숭이의 목은 무엇일까?,Baboon,order,Primate,a primate,1.0
63,113300320220718172419.jpg,이미지 안에서 날카롭고 뾰족한 건 뭐야?,a needle,HasProperty,sharp,darning needle,1.0
64,132000120220829143828.jpg,이미지 안 필기 도구에 속하는 것은 뭐야?,Fountain pen,subject,Writing implement,a fountain pen,1.0
65,110400720220906131340.jpg,이미지 속 도로 시설물은 뭐야?,Bus stop,subject,road_facility,bus stops,1.0
66,140101420220926110920.jpg,이미지 안 박과에 속하는 식물을 뭐라고 해?,Cucumis melo,kingdom,Plant,melon,1.0
67,120500620220802163017.jpg,이미지 내 청개구리의 아목은 뭘까?,Japanese tree frog,suborder,Neobatrachia,Neobatrachia,1.0
68,120803720220825173608.jpg,이미지에서 가자미목에 속하는 척삭동물은 뭘까?,Olive flounder,order,Flatfish,olive flounder,1.0
69,160100320220927173503.jpg,이미지 내 스코틀랜드의 발명품은 뭐가 있어?,Bicycle,subject,scotland_invention,bikes,1.0
70,141402620220726152421.jpg,이미지 안 박목에 해당하는 것이 속한 미분류문은 무엇이니?,Begonia,order,Cucurbitales,ia genus,1.0
71,110101320220810111930.jpg,이미지 내 바닥을 덮기 위한 용도로 사용하는 것은 무엇이니?,a carpet,UsedFor,covering a floor,a carpet,1.0
72,120206720220720133045.jpg,이미지에 보이는 곡비원류가 해당하는 하목은 뭐야?,Lemur,suborder,Strepsirrhini,Lemuriformes,1.0
73,120500120220901132348.jpg,이미지 안에 척삭동물은 무슨 강에 해당하니?,Frog,class,Amphibian,amphibians,1.0
74,134201420220725152022.jpg,이미지 내 중국의 발명품에 해당하는 것은 무엇일까?,Banknote,subject,chinese invention,paper money,1.0
75,132101320220708114019.jpg,이미지 내 샴푸는 어느 나라의 발명품이니?,Shampoo,subject,indian invention,india,1.0
76,130301420220627171813.jpg,이미지 안 난로는 무엇을 위한 장치일까?,Stove,subject,Heating system,heating,1.0
77,211301120220929124501.jpg,이미지에 있는 도기를 뭐라고 할까?,Onggi,subject,pottery,Onggi,1.0
78,120206920220829183636.jpg,이미지 속 야생의 들판에 있는 오스트레일리아의 포유류는 뭐야?,Wombat,subject,australian_mammals,wombat,1.0
79,141202920220726134743.jpg,이미지 안 약용식물은 어떤 과에 속해?,Achyranthes bidentata,subject,Medicinal plants,Amaranthaceae,1.0
80,122201320220707152305.jpg,이미지 내 오리는 무엇에 속하는 동물일까?,Duck,order,Anseriformes,Anseriformes,1.0
81,132300420220708151255.jpg,이미지 속 영장류에 속하는 동물은 뭐지?,Human,order,Primate,people,1.0
82,122300320220913103317.jpg,이미지 속 원실젖거미아목의 문은 뭐니?,Tarantula,phylum,Arthropod,arthropod,1.0
83,116200220220920155607.jpg,이미지 내 박물관에 있는 기록 매체는 뭐야?,art,RelatedTo,museum,Bamboo and wooden slips,1.0
84,130400320220810112718.jpg,주사기는 어떤 기기야?,Syringe,subject,medical_device,Medical device,1.0
85,141200220220711102641.jpg,이미지 속 진정쌍떡잎식물은 무엇에 속할까?,Asteraceae,subject,Asteraceae,chrysanthemum,1.0
86,133700220220722180456.jpg,이미지 속 잉글랜드의 발명품은 무엇이니?,Incandescent light bulb,subject,England's invention,light bulb,1.0
87,122203320220803131033.jpg,척삭동물에 포함되는 홍학의 상목은 뭐야?,Flamingo,phylum,Chordate,charadriiformes,1.0
88,134401520220725152657.jpg,오리고기는 어느 나라의 요리야?,Duck as food,subject,Chinese cuisine,china,1.0
89,180800320220907132655.jpg,이미지 내 런던의 관광지는 뭘까?,Big Ben,subject,London's attractions,Big Ben,1.0
90,112900220220801180316.jpg,이미지 내 금융과 관련된 임베디드 시스템은 뭘까?,Automated teller machine,subject,Finance,atm,1.0
91,115201020220906163613.jpg,이미지 속 휘감는데 쓰는 것은 뭐지?,reel,IsA,winder,reel,1.0
92,134202020220726110842.jpg,이미지 내의 종이 제품은 어느 나라 언어의 낱말이니?,Piñata,subject,paper_product,spain,1.0
93,110101920220728175615.jpg,이미지 속 타악기에 포함되는 것은 뭐가 있지?,Gong,subject,Percussion instrument,ball,1.0
94,120210420220907160235.jpg,이미지 속 동물의 목은 뭐야?,American black bear,order,Carnivora,Carnivora,1.0
95,150100220220628173409.jpg,이미지 안 캐나다에서 발명한 농구는 몇 년도에 올림픽 정식 종목으로 채택되었을까?,Basketball,subject,canadian invention,1936,1.0
96,130302920220715144228.jpg,이미지 속 야영 장비의 이름은 뭐야?,Backpack,subject,camping_equipment,a backpack,1.0
97,141404120220726175922.jpg,원예 식물에 속하는 해당화의 미분류문은 뭘까?,Rosa rugosa,subject,Gardening_Plants,ia genus,1.0
98,141800420220728160916.jpg,이미지 내 진정쌍떡잎식물의 미분류목은 무엇이지?,Rapeseed,unclassified_class,Eudicots,Rosids,1.0
99,120802920221014172052.jpg,이미지에서 극기상목에 해당하는 동물을 뭐라고 불러?,Pleuronectidae,kingdom,Animal,flounder,1.0
100,115200720220801154225.jpg,재봉틀은 어떤 나라의 발명품일까?,Sewing machine,subject,England's invention,england,1.0
101,132501320220722111327.jpg,바닥재는 무엇에 사용하는 재료일까?,Flooring,subject,Building material,Architecture,1.0
102,140601020220711151450.jpg,이미지의 약용식물은 어떤 미분류목에 해당해?,thistle,subject,Medicinal plants,Asterids,1.0
103,152000320220713135803.jpg,이미지 속 올림픽 경기 종목은 뭘까?,Modern competitive archery,subject,Olympic sports,archery,1.0
104,120105420220928153109.jpg,이미지 속 머리대장하목에 해당하는 동물은 뭐야?,Chrysomeloidea,infraorder,Cucujiformia,leafworm,1.0
105,120210420220907144806.jpg,이미지 안 식육목에 속하는 포유류는 뭐야?,American black bear,order,Carnivora,american black bear,1.0
106,115100120220720101041.jpg,이미지 내 자전거는 어느 나라의 발명품이니?,Bicycle,subject,French invention,France,1.0
107,116000120220802131316.jpg,이미지 내 사람의 아강은 뭐야?,Human,subclass,Theria,Theria,1.0
108,120101120220715112543.jpg,이미지 속 노린재목에 속한 매미는 어떤 동물이니?,Cicadidae,subject,Hemiptera,arthropod,1.0
109,141701220220727113429.jpg,이미지 안 측백나무과에 속하는 향나무의 속은 뭐야?,Juniperus chinensis,family,Cupressaceae,Juniper,1.0
110,142000920220727140915.jpg,가래나무과에 해당하는 피칸의 속은 뭐니?,Pecan,family,Juglandaceae,hickory,1.0
111,120210720220913113826.jpg,이미지 안 포유류에 속하는 미국의 상징은 뭘까?,Brown bear,subject,symbol of the United States (Alaska),great bear,1.0
112,121900520220907164245.jpg,이미지 안에서 식육목에 속하는 것의 아목은 뭘까?,Japanese sea lion,order,Carnivora,Caniformia,1.0
113,141400720220711141105.jpg,이미지 속 속씨식물은 무엇에 해당되니?,Syringa vulgaris,family,Oleaceae,furipteridae,1.0
114,110700620220706145824.jpg,이미지 속 음식을 판매하는 곳을 뭐라고 부르지?,a grocery store,UsedFor,selling food,a grocery store,1.0
115,141204020220805134338.jpg,이미지 내 데이지속에 포함되는 데이지의 계는 무엇이니?,Bellis perennis,kingdom,Plant,a plant,1.0
116,120210320220922141903.jpg,이미지 속 식육목에 해당하는 포유류를 뭐라고 부르지?,Eurasian lynx,order,Carnivora,lynx,1.0
117,150200220220704152501.jpg,이미지 내 영장류 동물은 무엇이니?,Snowboarding,subject,Winter sports,people,1.0
118,141900520221019115046.jpg,이미지 속 열대 과일은 무슨 과에 해당하니?,Morinda citrifolia,subject,Tropical fruit,Rubiaceae,1.0
119,121900220220707173324.jpg,바다코끼리는 무엇에 속하는 척삭동물이니?,Walrus,phylum,Chordate,Caniformia,1.0
120,120201720220818175533.jpg,이미지 안 고슴도치는 무슨 문에 속하는 한국의 포유류일까?,Amur hedgehog,subject,List of mammals of Korea,chordate,1.0
121,120400220220627111546.jpg,이미지에서 파충류에 속한 동물은 뭐야?,Snake,class,Reptile,a snake,1.0
122,141200720220902172154.jpg,이미지 안 아스파라거스목의 미분류문은 뭐니?,Iris sanguinea,order,Asparagales,ia genus,1.0
123,141000320220711161905.jpg,이미지 속 섬유식물은 무엇에 해당될까?,Okra,subject,fiber plant,Fruit vegetables,1.0
124,120101220220715132725.jpg,메뚜기는 무엇에 속하니?,Caelifera,phylum,Arthropod,arthropod,1.0
125,141204020220805132453.jpg,이미지 내 국화아과에 속하는 데이지의 계는 무엇이니?,Bellis perennis,kingdom,Plant,a plant,1.0
126,141000320220711162603.jpg,이미지 안 열매채소에 속한 식물은 뭐야?,Okra,subject,Vegetable,okra,1.0
127,120208220220927183402.jpg,이미지 안 포유류 동물은 뭐야?,Wild boar,class,Mammal,wild boar,1.0
128,140800320220711113751.jpg,이미지 속 담쟁이덩굴은 무슨 식물이야?,Parthenocissus tricuspidata,unclassified_order,Rosids,rosids,1.0
129,120700220220707184034.jpg,이미지 속 자포동물은 뭐야?,Sea anemone,phylum,Cnidaria,sea anemone,1.0
130,120100120220622140300.jpg,이미지 속 벌목에 속하는 곤충은 뭐야?,Ant,subject,felling,ant,1.0
131,140601320220726114128.jpg,광대나물속에 해당하는 광대나물의 목은 뭐야?,Lamium amplexicaule,order,Lamiales,Lamiales,1.0
132,120201020220623172837.jpg,하마는 무엇에 해당하는 동물일까?,Hippopotamus,phylum,Chordate,chordate,1.0
133,120700320220707174545.jpg,이미지 내 산호는 무엇에 해당될까?,Coral,phylum,Cnidaria,Cnidaria,1.0
134,114800420220720115834.jpg,이미지 속 교육인은 누구니?,Teacher,subject,Education,a teacher,1.0
135,131100820220628143005.jpg,이미지 내의 광학 기기는 어느 나라의 발명품이야?,Glasses,subject,Optical instrument,italy,1.0
136,141400620220711113316.jpg,이미지 속 산토끼꽃목에 속하는 식물은 뭐야?,Sambucus ebulus,order,Dipsacales,sambucus,1.0
137,141201920220726170545.jpg,이미지 속 가지과에 속하는 속씨식물은 뭐야?,Solanum nigrum,subject,Solanaceae,solanum nigrum,1.0
138,122100120220622174020.jpg,이미지 속 전갈은 무엇에 속하는 동물이니?,Scorpion,class,Arachnid,arachnid,1.0
139,141500420220712151332.jpg,은방울꽃은 무엇에 속해?,Lily of the valley,family,Asparagaceae,Asparagaceae,1.0
140,120209520220803131152.jpg,이미지 안 동물의 강은 뭐지?,Bighorn sheep,class,Mammal,Mammalia,1.0
141,120202620220824160028.jpg,이미지에 있는 척삭동물이 해당하는 목은 뭐야?,Zebra,order,Odd-toed ungulate,Odd-toed ungulate,1.0
142,120500720220802164027.jpg,이미지 속 동물이 해당하는 강은 뭐야?,American bullfrog,class,Amphibian,amphibians,1.0
143,112300120220707112146.jpg,모노레일은 어느 나라에서 발명했니?,Monorail,subject,russian invention,russia,1.0
144,130801120220805174940.jpg,이미지 안 헝가리의 발명품에 해당하는 것은 뭐야?,Ballpoint pen,subject,Hungarian invention,ballpoint pen,1.0
145,120801120220715115202.jpg,이미지 안에 회유어는 무슨 부류일까?,Chum salmon,subject,Fish migration,Actinopteri,1.0
146,120201620220624111829.jpg,이미지 안 사람은 무엇에 포함되는 동물이야?,Human,subphylum,Vertebrate,vertebrate,1.0
147,120800520220708145322.jpg,이미지에서 산화물에 해당하는 것은 뭘까?,Water,subject,Oxide,the water,1.0
148,122203420220929155650.jpg,이미지 속 오리과에 포함되는 것의 문은 뭐야?,Black swan,subject,Anatidae,chordate,1.0
149,120204620220810100250.jpg,하이에나의 아목은 뭐야?,Hyena,suborder,Feliformia,Feliformia,1.0
150,110102120220801155542.jpg,이미지에서 음역이 210인 목관 악기를 뭐라고 부를까?,Bassoon,subject,Woodwind instrument,bassoon,1.0
151,120202420220823180307.jpg,이미지 안 인도네시아의 상징에 속하는 것은 뭘까?,Tiger,subject,Indonesia's symbol,tiger,1.0
152,121100120220707130335.jpg,이미지에서 게는 무엇에 속하는 절지동물일까?,Crab,phylum,Arthropod,Brachyura,1.0
153,121000120220627133355.jpg,이미지에 있는 불가사리는 무슨 동물이라고 해?,Starfish,subject,Echinoderm,echinoderm,1.0
154,122500320220721165649.jpg,포유류 및 설치류에 속하는 이미지 안의 동물은 무엇이니?,Beaver,class,Mammal,beaver,1.0
155,117200420220905174854.jpg,이미지 안 한국의 도예와 관련된 것은 뭘까?,Celadon,subject,Korean ceramics,celadon,1.0
156,120207820220803154438.jpg,이미지 안 소목에 속한 동물은 무슨 문에 해당할까?,Dromedary,order,joiner,chordate,1.0
157,133100820220722151209.jpg,이미지 속 광학 기기는 어느 나라의 발명품이니?,Glasses,subject,Optical instrument,italy,1.0
158,131000420220628163001.jpg,이미지 속 컴퓨터 저장 매체는 뭐야?,Tape drive,subject,computer_storage_medium,tape player,1.0
159,141400320220923130654.jpg,이미지 속 공원에 있는 원예 식물은 뭐야?,Strelitzia reginae,subject,Gardening_Plants,strelitzia reginae,1.0
160,134101020220725153719.jpg,이미지 속 가톨릭 전례용품은 뭘까?,Rosary,subject,Catholic_liturgical items,rosarium,1.0
161,140200320220701172230.jpg,이미지 내 박과에 속하는 덩굴식물은 뭐야?,Cucumber,subject,Cucurbitaceae,cucumber,1.0
162,122203220220808111748.jpg,이미지 안 코뿔새는 어떤 상목에 해당해?,Hornbill,superorder,Neoaves,Neoaves,1.0
163,120209020220802145707.jpg,이미지 속 애완견은 어느 나라의 개 품종일까?,Yorkshire Terrier,subject,british_dog_breeds,great britain,1.0
164,140200720220718110840.jpg,이미지에서 메꽃과에 속하는 식용작물은 무엇이니?,Sweet potato,subject,food crops,ocarina,1.0
165,122000320220708101645.jpg,지렁이는 빈모강에 속하는 무슨 동물일까?,Earthworm,subject,Annelid,Annelid,1.0
166,130500420220627165042.jpg,이미지 속 기계 체조 기구는 뭐라고 부르니?,Horizontal bar,subject,mechanical_gymnastics_apparatus,bar,1.0
167,110600420220714171107.jpg,이미지 내에 안경은 어떤 나라에서 발명한 광학 기기일까?,Glasses,subject,Optical instrument,italy,1.0
168,132303420220808131137.jpg,이미지 내 에스프레소 머신은 어느 나리에서 발명했니?,Espresso machine,subject,italian invention,italy,1.0
169,110102620220729134453.jpg,이미지에서 타악기인 중국의 발명품은 뭐지?,Bell,subject,chinese invention,specie,1.0
170,141800920221018183149.jpg,이미지 내 잎채소의 목은 무엇이니?,Fennel,subject,Leaf vegetable,Apiales,1.0
171,122203420220804102010.jpg,흑고니의 목은 무엇이니?,Black swan,order,Anseriformes,Anseriformes,1.0
172,131000220220628172305.jpg,이미지 내 냉장고는 어느 나라의 발명품이야?,Refrigerator,subject,England's invention,england,1.0
173,151300120220713160134.jpg,득점판은 무슨 장비에 속하지?,Scoreboard,subject,sports_equipment,sport,1.0
174,132000220220829183221.jpg,이미지 속 사무기기에 포함되는 것은 뭐야?,File folder,subject,office equipment,file,1.0
175,121100220220707135059.jpg,이미지 안 중국에서 발명한 식기는 무엇일까?,Chopsticks,subject,chinese invention,chopsticks,1.0
176,151100720220713110414.jpg,이미지 속 스포츠 시설을 뭐라고 부를까?,Health club,subject,Sports_Facilities,a health club,1.0
177,160600920220714171119.jpg,이미지 내 캐럭은 어느 시대의 범선이야?,Carrack,subject,Age of Discovery_Sailboat,Age of Discovery,1.0
178,120200420220622162559.jpg,이미지에서 포유류에 해당하는 유인원은 무엇이야?,Human,subject,Ape,people,1.0
179,120202520220627132556.jpg,이미지 속 거대동물은 어떤 목에 해당해?,Cetacea,subject,Megafauna,cetacea,1.0
180,141900520221019115315.jpg,이미지 안 용담목에 해당하는 진정쌍떡잎식물은 뭘까?,Morinda citrifolia,order,Gentianales,noni,1.0
181,151100720220713110214.jpg,헬스클럽은 무슨 시설에 해당될까?,Health club,subject,Sports_Facilities,Sports facility,1.0
182,141800420220727113436.jpg,이미지 속 유인원에 해당하는 것의 아목은 뭐야?,Human,superfamily,Ape,Haplorhini,1.0
183,120210520220907165454.jpg,이미지에서 타이의 상징에 속하는 동물은 뭘까?,Asian elephant,subject,thai symbol,indian elephant,1.0
184,141400720220711132730.jpg,이미지 안에 있는 원예 식물은 어떤 미분류목에 포함되지?,Syringa vulgaris,subject,Gardening_Plants,Asterids,1.0
185,210300120220926145955.jpg,이미지 안 한국 민속과 관련된 가구는 뭘까?,Folding screen,subject,Korea_Folk,a screen,1.0
186,131500520220721163904.jpg,이미지 속 영국에서 발명한 생활용품은 뭘까?,Steel and tin cans,subject,british invention,canker,1.0
187,110101620220811182854.jpg,이미지 내 180의 음역을 가진 트럼펫은 어떤 악기니?,Trumpet,subject,Aerophone,Aerophone,1.0
188,151800720220713134747.jpg,이미지에서 유인원에 해당하는 동물은 뭐니?,Human,subject,Ape,people,1.0
189,120204920220715113513.jpg,이미지 안에서 척삭동물에 해당하는 것의 강은 무엇이니?,Mongoose,class,Mammal,a mammal,1.0
190,211301120220907144323.jpg,이미지 내 도예는 어느 나라의 문화와 관련 있니?,Onggi,subject,Pottery,Korea,1.0
191,134300520221101160050.jpg,이미지 속 타이완의 음료에 해당하는 것은 뭘까?,Bubble tea,subject,Taiwanese drink,bubble tea,1.0
192,110101720220620175351.jpg,이미지 내 현악기의 음역은 몇일까?,Violin,subject,String instrument,135 (number),1.0
193,160202420220921175134.jpg,철도 선로 이미지에서 독일의 발명품에 해당하는 것은 뭘까?,a railroad track,AtLocation,a train station,streetcar,1.0
194,133500420220722164645.jpg,이미지 안 주거와 관련 있는 야영 장비는 뭐야?,Tent,subject,Dwelling,tent,1.0
195,120800320220708105219.jpg,이미지에서 멸치는 무엇에 속하는 동물일까?,Japanese anchovy,class,Actinopterygii,Actinopteri,1.0
196,110102120220801155048.jpg,이미지에서 기명악기의 음역은 몇일까?,Bassoon,subject,Aerophone,210 (number),1.0
197,130400120220809151501.jpg,이미지 속 영장상목에 해당하는 유인원은 뭐야?,Human,superfamily,Ape,people,1.0
198,120104820220822115455.jpg,이미지 속 절지동물의 목은 뭐야?,Papilio xuthus,order,Lepidoptera,lepidoptera,1.0
199,141204020220805140849.jpg,이미지 속 식물은 무슨 과에 해당하니?,Bellis perennis,family,Asteraceae,chrysanthemum,1.0
200,122300320220907102021.jpg,이미지에서 거미강에 속하는 동물은 무엇일까?,Tarantula,class,Arachnid,tarantula,1.0
201,160100720220713181442.jpg,이미지 속 아르헨티나의 발명품은 무엇이야?,Helicopter,subject,Argentinian invention,helicopter,1.0
202,120206720220720132128.jpg,이미지 내 여우원숭이는 무슨 동물에 속하니?,Lemur,phylum,Chordate,chordate,1.0
203,120105420220928152351.jpg,이미지 속 절지동물의 아목은 뭘까?,Chrysomeloidea,suborder,Polyphaga,Polyphaga,1.0
204,141901020220727143005.jpg,이미지 속 식물은 어느 나라의 상징이니?,Jackfruit,subject,symbol of bangladesh,Bangladesh,1.0
205,141403820220831181512.jpg,이미지 속 원예 식물은 무슨 속에 속하니?,hairy rhododendron,subject,Gardening_Plants,Rhododendron,1.0
206,113900320220819150340.jpg,이미지 내 설치류에 해당하는 동물은 뭘까?,Tree squirrel,kingdom,Animal,squirrels,1.0
207,120204520220810132100.jpg,이미지 속 말라위의 상징인 포유류는 뭘까?,Leopard,subject,Malawi's symbol,leopard,1.0
208,120203420220707110650.jpg,이미지 내 식육목인 동물은 어디에 속하니?,Common raccoon dog,class,Mammal,a mammal,1.0
209,114701020220719155910.jpg,이미지 안에 보이는 생활용품은 어느 나라의 문화일까?,Tipi,subject,Household goods,usa,1.0
210,141200820220711130440.jpg,이미지 내에서 진달래과에 속한 것의 미분류강은 무엇이지?,Blueberry,subject,Ericaceae,Eudicot plant,1.0
211,116600120220906140052.jpg,이미지에서 샤머니즘과 관련된 여성을 가리키는 용어는 무엇일까?,Witch (word),subject,Shamanism,witch,1.0
